date_time,user_id,color
2009-09-14 21:42:00 +0100,44,#3dad79
2009-09-15 22:01:00 +0100,44,#3dad79
2009-10-29 21:51:00 UTC,296,#7e3892
2009-11-18 18:47:00 UTC,291,#44770e
2009-11-29 16:28:00 UTC,291,#44770e
2010-02-05 16:02:00 UTC,291,#44770e
2010-02-18 21:35:00 UTC,291,#44770e
2010-03-22 22:29:00 UTC,288,#8d4e21
2010-03-25 20:55:00 UTC,288,#8d4e21
2010-03-25 22:08:00 UTC,288,#8d4e21
2010-03-25 23:32:00 UTC,296,#7e3892
2010-03-27 12:14:00 UTC,288,#8d4e21
2010-03-27 20:11:00 UTC,291,#44770e
2010-04-01 12:10:00 +0100,307,#b05e08
2010-04-02 14:42:00 +0100,307,#b05e08
2010-04-07 19:35:00 +0100,291,#44770e
2010-04-27 19:51:00 +0100,41,#b1f3b2
2010-05-11 14:05:00 +0100,41,#b1f3b2
2010-05-12 01:53:00 +0100,41,#b1f3b2
2010-05-12 11:08:00 +0100,41,#b1f3b2
2010-06-13 20:24:00 +0100,42,#7e9582
2010-06-13 22:02:00 +0100,42,#7e9582
2010-06-13 22:05:00 +0100,42,#7e9582
2010-06-16 00:32:00 +0100,43,#ef616e
2010-06-16 22:42:00 +0100,23,#738b59
2010-07-12 20:02:00 +0100,298,#8158b8
2010-08-06 12:54:00 +0100,299,#36d69a
2010-08-11 12:26:00 +0100,299,#36d69a
2010-08-11 12:26:00 +0100,299,#36d69a
2010-08-27 00:37:00 +0100,45,#b9c05a
2010-08-27 23:06:00 +0100,45,#b9c05a
2010-10-14 20:26:00 +0100,297,#a87008
2010-10-24 17:36:00 +0100,300,#88bf99
2010-10-25 15:37:00 +0100,292,#b978c5
2010-11-11 19:56:00 UTC,287,#df655b
2011-01-14 01:46:00 UTC,295,#398db9
2011-02-02 22:26:00 UTC,44,#3dad79
2011-02-02 22:30:00 UTC,44,#3dad79
2011-02-02 22:32:00 UTC,44,#3dad79
2011-02-02 22:35:00 UTC,44,#3dad79
2011-02-02 22:37:00 UTC,44,#3dad79
2011-02-02 22:40:00 UTC,44,#3dad79
2011-02-02 22:41:00 UTC,44,#3dad79
2011-02-02 22:46:00 UTC,44,#3dad79
2011-02-02 22:48:00 UTC,44,#3dad79
2011-02-02 22:50:00 UTC,44,#3dad79
2011-02-05 02:33:00 UTC,44,#3dad79
2011-02-09 22:45:00 UTC,44,#3dad79
2011-02-09 23:48:00 UTC,44,#3dad79
2011-02-10 00:01:00 UTC,44,#3dad79
2011-02-12 13:28:00 UTC,75,#87885f
2011-02-14 00:40:00 UTC,75,#87885f
2011-02-27 03:24:00 UTC,286,#e88f49
2011-03-10 19:01:00 UTC,75,#87885f
2011-03-10 19:02:00 UTC,75,#87885f
2011-03-17 00:24:00 UTC,38,#cfb0d7
2011-03-17 00:24:00 UTC,38,#cfb0d7
2011-03-17 00:24:00 UTC,38,#cfb0d7
2011-03-17 00:25:00 UTC,38,#cfb0d7
2011-03-17 00:25:00 UTC,38,#cfb0d7
2011-03-17 00:25:00 UTC,38,#cfb0d7
2011-03-17 00:25:00 UTC,38,#cfb0d7
2011-03-17 00:25:00 UTC,38,#cfb0d7
2011-03-17 00:26:00 UTC,38,#cfb0d7
2011-03-17 00:26:00 UTC,38,#cfb0d7
2011-03-17 00:27:00 UTC,38,#cfb0d7
2011-03-17 00:27:00 UTC,38,#cfb0d7
2011-03-17 00:28:00 UTC,38,#cfb0d7
2011-03-17 00:28:00 UTC,38,#cfb0d7
2011-03-17 00:28:00 UTC,38,#cfb0d7
2011-03-17 00:28:00 UTC,38,#cfb0d7
2011-03-17 00:29:00 UTC,38,#cfb0d7
2011-03-17 00:29:00 UTC,38,#cfb0d7
2011-03-17 00:30:00 UTC,38,#cfb0d7
2011-03-17 00:30:00 UTC,38,#cfb0d7
2011-03-17 00:31:00 UTC,38,#cfb0d7
2011-03-17 00:31:00 UTC,38,#cfb0d7
2011-03-17 00:31:00 UTC,38,#cfb0d7
2011-03-17 00:31:00 UTC,38,#cfb0d7
2011-03-17 00:32:00 UTC,38,#cfb0d7
2011-03-17 00:32:00 UTC,38,#cfb0d7
2011-03-17 00:32:00 UTC,38,#cfb0d7
2011-03-17 00:32:00 UTC,38,#cfb0d7
2011-03-17 00:33:00 UTC,38,#cfb0d7
2011-03-17 00:33:00 UTC,38,#cfb0d7
2011-03-17 00:34:00 UTC,38,#cfb0d7
2011-03-17 00:36:00 UTC,38,#cfb0d7
2011-03-17 00:37:00 UTC,38,#cfb0d7
2011-03-17 00:39:00 UTC,38,#cfb0d7
2011-03-17 00:40:00 UTC,38,#cfb0d7
2011-03-17 00:40:00 UTC,38,#cfb0d7
2011-03-17 00:41:00 UTC,38,#cfb0d7
2011-03-17 00:41:00 UTC,38,#cfb0d7
2011-03-17 00:42:00 UTC,38,#cfb0d7
2011-03-17 00:42:00 UTC,38,#cfb0d7
2011-03-17 00:42:00 UTC,38,#cfb0d7
2011-03-17 00:42:00 UTC,38,#cfb0d7
2011-03-17 00:42:00 UTC,38,#cfb0d7
2011-03-17 00:43:00 UTC,38,#cfb0d7
2011-03-17 00:43:00 UTC,38,#cfb0d7
2011-03-17 00:44:00 UTC,38,#cfb0d7
